Year,State Name,Dist Name,ANNUAL RAINFALL (Millimeters)
2005,Chhattisgarh,Raipur,1348
2006,Chhattisgarh,Raipur,1206.7
2007,Chhattisgarh,Raipur,1434.2
2008,Chhattisgarh,Raipur,1114.5
2009,Chhattisgarh,Raipur,937.5
2010,Chhattisgarh,Raipur,1109.1
2011,Chhattisgarh,Raipur,1322.9
2012,Chhattisgarh,Raipur,1233
2013,Chhattisgarh,Raipur,1443.6
2014,Chhattisgarh,Raipur,1233.2
2015,Chhattisgarh,Raipur,921.4
1966,Chhattisgarh,Bilaspur,1002.5
1967,Chhattisgarh,Bilaspur,1503.5
1968,Chhattisgarh,Bilaspur,1250.7
1969,Chhattisgarh,Bilaspur,1038.3
1970,Chhattisgarh,Bilaspur,1305.2
1971,Chhattisgarh,Bilaspur,1567.6
1972,Chhattisgarh,Bilaspur,1131.2
1973,Chhattisgarh,Bilaspur,1352.6
1974,Chhattisgarh,Bilaspur,1027.9
1975,Chhattisgarh,Bilaspur,1510
1976,Chhattisgarh,Bilaspur,1101.8
1977,Chhattisgarh,Bilaspur,1300
1978,Chhattisgarh,Bilaspur,1294.9
1979,Chhattisgarh,Bilaspur,795.9
1980,Chhattisgarh,Bilaspur,1400.3
1981,Chhattisgarh,Bilaspur,1104.2
1982,Chhattisgarh,Bilaspur,1031.5
1983,Chhattisgarh,Bilaspur,1254.1
1984,Chhattisgarh,Bilaspur,1275
1985,Chhattisgarh,Bilaspur,1136.4
1986,Chhattisgarh,Bilaspur,1279.8
1987,Chhattisgarh,Bilaspur,1087.8
1988,Chhattisgarh,Bilaspur,1283.3
1989,Chhattisgarh,Bilaspur,912.6
1990,Chhattisgarh,Bilaspur,1317.1
1991,Chhattisgarh,Bilaspur,940.1
1992,Chhattisgarh,Bilaspur,973.6
1993,Chhattisgarh,Bilaspur,1033.2
1994,Chhattisgarh,Bilaspur,1668.2
1995,Chhattisgarh,Bilaspur,1087.3
1996,Chhattisgarh,Bilaspur,1249.8
1997,Chhattisgarh,Bilaspur,1326.8
1998,Chhattisgarh,Bilaspur,1324.1
1999,Chhattisgarh,Bilaspur,1109.7
2002,Chhattisgarh,Bilaspur,-1
2004,Chhattisgarh,Bilaspur,1272.3
2005,Chhattisgarh,Bilaspur,1475.7
2006,Chhattisgarh,Bilaspur,1091.7
2007,Chhattisgarh,Bilaspur,1269.4
2008,Chhattisgarh,Bilaspur,1047
2009,Chhattisgarh,Bilaspur,791.4
2010,Chhattisgarh,Bilaspur,973.9
2011,Chhattisgarh,Bilaspur,1290.1
2012,Chhattisgarh,Bilaspur,1350.1
2013,Chhattisgarh,Bilaspur,1449.5
2014,Chhattisgarh,Bilaspur,1348.2
2015,Chhattisgarh,Bilaspur,1056.8
1966,Chhattisgarh,Raigarh,1128.4
1967,Chhattisgarh,Raigarh,1524.3
1968,Chhattisgarh,Raigarh,1232.4
